abandon	v. 遗弃；离开；放弃；终止；陷入n. 放任，狂热
management	n. 管理；管理人员；管理部门；操纵；经营手段
manager	n. 经理；管理人员
maneuver n. 演习，调遣，策略 v. 调遣，演习，用计
manifest	n.载货单,旅客名单adj.显然的,明白的vi.出现vt.表明,证明
manipulate	vt. 操纵；操作；巧妙地处理；篡改
mankind	n. 人类；男性
manly	adj. 男子气概的；强壮的；适于男人的adv. 雄赳赳地n. （Manly）
manner	n. 方式；习惯；种类；规矩；风俗n. (Manner)人名；(德、芬、瑞典)曼纳
manoeuvre	n.[亦作maneuvre] 策略,调动v.用策略,调动,演习,(敏捷地)操纵
mansion n. 1. 大厦 2. 宅第，公馆
manual	adj. 体力的；手控的；用手的n. 说明书；小册子；（牧师主持圣礼时用）礼仪书；用手操作的器具
manufacture	n. 制造；产品；制造业vt. 制造；加工；捏造vi. 制造
manufacturer	n. 制造商；[经] 厂商
manuscript	n. [图情] 手稿；原稿adj. 手写的
many	det. 许多pron. 许多；许多人adj. 许多的n. 大多数人n. (Many)
map	mæp/ n.地图；图；天体图
marble	n. 大理石；大理石制品；弹珠adj. 大理石的；冷酷无情的n.
march	vi.行军；游行示威
margin	n. 边缘；利润，余裕；页边的空白vt. 加边于；加旁注于n.
marginal	adj. 微不足道的，不重要的；边缘的；临界的；末端的n. 边缘席位
marine	adj.船舶的；海生的；海产的；航海的，海运的n. 海运业；舰队； 水兵；（海军）士兵或军官n. (Marine)人名；(西)马里内；(英)马林
mark	n. 标志；符号；痕迹；分数vi. 作记号vt. 标志；做标记于；打分数n. （Mark）马克（人名）
market	n. 市场；行情；股票市场；市面；集市；销路；商店vt. 在市场上出售vi. 做买卖n. (Market)人名；(塞)马尔凯特
marriage	n. 结婚；婚姻生活；密切结合，合并n. (Marriage)人名；(英)马里奇
married	adj. 已婚的，有配偶的；婚姻的，夫妇的；密切结合的n. 已婚者v. 结婚，与…结婚（marry的过去式）
marry	vt. 嫁；娶；与……结婚vi. 结婚n. (Marry)人名；(阿拉伯)马雷；
marsh	n. 沼泽；湿地adj. 沼泽的；生长在沼泽地的n. (Marsh)人名；(俄) 马尔什；(英、瑞典)马什
marshal	n. 元帅；司仪vt. 整理；引领；编列vi. 排列n. (Marshal)人名；
marvelous	adj. 了不起的；非凡的；令人惊异的；不平常的
Marxism	马克思主义
Marxist	n. 马克思主义者adj. 马克思主义的
masculine	adj. 男性的；阳性的；男子气概的n. 男性；阳性，阳性词
mask	n. 面具；口罩；掩饰；[计] 掩膜vi. 掩饰；戴面具；化装vt. 掩饰；戴面具；使模糊
mass	n. 块，团；群众，民众；大量，众多；质量adj. 群众的，民众的； 大规模的，集中的vi. 聚集起来，聚集vt. 使集合
massacre n. & v. 大屠杀
massive	adj. 大量的；巨大的，厚重的；魁伟的
master	n.主人,雇主,(男)教师,熟练技工,师傅,大师,硕士,称呼少爷adj.主人的,熟练的,高明的,主要的vt.征服,控制,精通
masterpiece	n. 杰作；绝无仅有的人
mat	n.席子,垫子v.铺席子
match	n.火柴,比赛,竞赛,匹配,(足球,捧球,蓝球)比赛v.相配,相称,比赛,相比,匹配
mate	n.配偶,对手,助手vt.使配对,使一致,结伴vi.成配偶,紧密配合
material	n.材料,原料,物资,素材,布料adj.物质的,肉体的,具体的,重要的,实质性的
materialism	n. 唯物主义；唯物论；物质主义
mathematical	adj. 数学的，数学上的；精确的
mathematics	n. 数学；数学运算
maths	n. 数学（等于mathematics）n. (Maths)人名；(瑞典)马茨
matter	n. 物质；事件vi. 有关系；要紧n. (Matter)人名；(英、法)马特；
mature	adj. 成熟的；充分考虑的；到期的；成年人的vi. 成熟；到期vt. 使
maximum	n. [数] 极大，最大限度；最大量adj. 最高的；最多的；最大极限的
may	aux. 可以，能够；可能，也许；祝，愿；会，能
maybe	adv. 也许；可能；大概n. 可能性；不确定性
mayor	n. 市长n. (Mayor)人名；(英)梅厄；(法、西、俄)马约尔
me	miː/ pron. 我（宾格）n. 自我；极端自私的人；自我的一部分n. (Me)人名；(日)马(姓)；(朝)袂；(阿拉伯、柬、老)梅
meadow	n. 草地；牧场n. (Meadow)人名；(英)梅多
meal	n. 一餐，一顿饭；膳食vi. 进餐
mean	adj.低劣的,卑鄙的,普通的,吝啬的,简陋的,平均的,惭愧的,不舒服的
meaning	n. 意义；含义；意图adj. 意味深长的v. 意味；意思是（mean的ing 形式）
means	n. 手段；方法；财产vt. 用意；意味着；预示；意义重大（mean 的第三人称单数）vi. 意欲（mean 的第三人称单数）
meantime	n. 其时，其间adv. 同时；其间
meanwhile	adv. 同时，其间n. 其间，其时
measurable	adj. 可测量的；重要的；重大的
measure	n. 测量；措施；程度；尺寸vt. 测量；估量；权衡vi. 测量；估量
measurement	n. 测量；[计量] 度量；尺寸；量度制
meat	n. 肉，肉类（食用）
mechanic	n. 技工，机修工adj. 手工的n. (Mechanic)人名；(英)梅凯尼克
mechanical	adj. 机械的；力学的；呆板的；无意识的；手工操作的
mechanically	adv. 机械地；呆板地；物理上地
mechanics	n. 力学（用作单数）；结构；技术；机械学（用作单数）
mechanism	n. 机制；原理，途径；进程；机械装置；技巧
medal	n. 勋章，奖章；纪念章n. (Medal)人名；(西、捷)梅达尔
media	n. 媒体；媒质（medium的复数）；血管中层；浊塞音；中脉
mediate	vi. 调解；斡旋；居中vt. 调停；传达adj. 间接的；居间的
medical	adj. 医学的；药的；内科的n. 医生；体格检查
medicine	n. 药；医学；内科；巫术vt. 用药物治疗；给…用药
medieval	adj. 中世纪的；原始的；仿中世纪的；老式的
Mediterranean	n. 地中海adj. 地中海的
medium	adj. 中间的，中等的；半生熟的；（投球）中速的n. 方法；媒体； 媒介；中间物；溶剂；灵媒；中庸
meet	vt. 满足；遇见；对付vi. 相遇；接触n. 集会adj. 合适的；适宜的n. (Meet)人名；(英)米特
meeting	n. 会议；会见；集会；汇合点v. 会面；会合（meet 的现在分词）
melody	n. 旋律；歌曲；美妙的音乐n. (Melody)人名；(英)梅洛迪
melon	n. 瓜；甜瓜；大肚子；圆鼓鼓像瓜似的东西n. (Melon)人名；(意、西、葡)梅隆
melt	vi. 熔化，溶解；渐混vt. 使融化；使熔化；使软化；使感动n. 熔化；熔化物
member	n. 成员；会员；议员
membership	n. 资格；成员资格；会员身份
memorial	n. 纪念碑，纪念馆；纪念仪式；纪念物adj. 记忆的；纪念的，追悼的
memorize v. 记住，熟记
memory	n. 记忆，记忆力；内存，[计] 存储器；回忆n. (Memory)人名；(英) 梅默里
menace	n. 威胁；恐吓vi. 恐吓；进行威胁vt. 威胁；恐吓
mend	vt. 修理，修补；改善；修改vi. 改善，好转n. 好转，改进；修补处
mental	adj. 精神的；脑力的；疯的n. 精神病患者
mention	vt. 提到，谈到；提及，论及；说起n. 提及，说起n. (Mention)人名；(法)芒雄
menu	n. 菜单饭菜
merchant	n. 商人，批发商；店主adj. 商业的，商人的n. (Merchant)人名；
mercury	n. [化]汞，水银[天]水星温度表精神，元气
mercy	n. 仁慈，宽容；怜悯；幸运；善行n. (Mercy)人名；(英)默西，默茜
mere	adj. 仅仅的；只不过的n. 小湖；池塘n. (Mere)人名；(日)目连
merely	adv. 仅仅，只不过；只是
merge	vt. 合并；使合并；吞没vi. 合并；融合n. (Merge)人名；(意)梅尔杰
meridiem	n. 正午
merit	n. 优点，价值；功绩；功过vt. 值得vi. 应受报答
merry	adj. 愉快的；微醉的；嬉戏作乐的n. 甜樱桃n. (Merry)人名；(英、法、西)梅里
mess	n.混乱；食堂，伙食团；困境；脏乱的东西vt. 弄乱，弄脏；毁坏；
message	n. 消息；差使；启示；预言；广告词vi. 报信，报告；[通信] 报文vt. 通知
messenger	n. 报信者，送信者；先驱n. (Messenger)人名；(德)梅森格；(英)梅辛杰
metal	n. 金属；合金vt. 以金属覆盖adj. 金属制的n. （Metal）（捷、瑞典）梅塔尔（人名）
metallic	adj. 金属的，含金属的
meter	n. 米；仪表；[计量] 公尺；韵律vt. 用仪表测量vi. 用表计量n.
method	n. 方法；条理；类函数
metre	n. 米；公尺；韵律n. (Metre)人名；(英)米特
metric	adj. 公制的；米制的；公尺的n. 度量标准
metropolitan	adj. 大都市的；大主教辖区的；宗主国的n. 大城市人；大主教；宗主国的公民
microcomputer	n. 微电脑；[计] 微型计算机
microphone	n. 扩音器，麦克风
microscope	n. 显微镜
midday	n. 中午；正午adj. 正午的
middle	adj. 中间的，中部的；中级的，中等的n. 中间，中央；腰部
midnight	n. 午夜，半夜12点钟adj. 半夜的；漆黑的
midst	n. 当中，中间prep. 在…中间（等于amidst）
might	aux. 可能，也许，可以（may 的过去式）n. 强大力量，威力，势力n. (Might) （美）迈特（人名）
migrant n. 移民，候鸟
migrate	vi. 移动；随季节而移居；移往vt. 使移居；使移植
mild	adj.温和的；轻微的；淡味的；文雅的；不含有害物质的n. （英国
mile	n. 英里；一英里赛跑；较大的距离n. (Mile)人名；(塞、匈、法)米莱
militant	adj. 好战的n. 富有战斗性的人；好斗者；激进分子
military	adj. 军事的；军人的；适于战争的n. 军队；军人
milk	n. 牛奶；乳状物vt. 榨取；挤…的奶vi. 挤奶n. (Milk)人名；(英) 米尔克
mill	n.压榨机,磨坊,磨粉机,工厂,制造厂vt.碾磨,磨细,搅拌,使乱转,打
millimetre	n. 毫米；千分之一米
million	n. 百万；无数adj. 百万的；无数的num. 百万n. (Million) （美、法）米利翁（人名）
millionaire n. 百万富翁，巨富
mind	n. 理智，精神；意见；智力；记忆力vt. 介意；专心于；照料vi. 介意；注意
mine	n.矿，矿藏；矿山，矿井；地雷，水雷vt. 开采，采掘；在…布雷
miner	n. 矿工；开矿机n. (Miner)人名；(英)迈纳；(西)米内尔
mineral	n. 矿物；（英）矿泉水；无机物；苏打水（常用复数表示）adj. 矿物的；矿质的
mingle	vi. 混合；交往vt. 使混合；使相混n. (Mingle)人名；(加纳、英)明格尔
miniature	adj. 微型的，小规模的n. 缩图；微型画；微型图画绘画术vt. 是… 的缩影
minibus n. 小型公共汽车，小巴
minimal	adj. 最低的；最小限度的
minimize	vt. 使减到最少；小看，极度轻视vi. 最小化
minimum	n. 最小值；最低限度；最小化；最小量adj. 最小的；最低的
minister	n. 部长；大臣；牧师vi. 执行牧师职务；辅助或伺候某人
ministry	n. （政府的）部门；宗教团体的领袖；（尤其是新教）牧师
minor	adj.未成年的；次要的；较小的；小调的；二流的n. 未成年人；小
minority	/ n. 少数民族；少数派；未成年
minus	adj.负的,减的 prep.减去n.负数
minute	n. 分，分钟；片刻，一会儿；备忘录，笔记；会议记录vt. 将……记录下来adj. 微小的，详细的
miracle	n. 奇迹，奇迹般的人或物；惊人的事例n. (Miracle)人名；(英)米勒克尔；(意、西)米拉克莱
mirror	n. 镜子；真实的写照；榜样vt. 反射；反映
miserable	adj. 悲惨的；痛苦的；卑鄙的
misery	n. 痛苦，悲惨；不幸；苦恼；穷困n. (Misery)人名；(法)米斯里
misfortune	n. 不幸；灾祸，灾难
mislead	vt. 误导；带错
miss	n.过错,避免,失败,小姐,姑娘vt.未得到,未达到,未听到,思念,未觉察,错过,遗漏,逃脱vi.失败,击不中
missile	n. 导弹；投射物adj. 导弹的；可投掷的；用以发射导弹的
missing	adj. 失踪的；缺少的v. 错过（miss的ing形式）；想念；漏掉n.
mission	n. 使命，任务；代表团；布道vt. 派遣；向……传教
missionary	n. 传教士adj. 传教的；传教士的；传教士般的
mist	n. 薄雾；视线模糊不清；模糊不清之物vi. 下雾；变模糊vt. 使模糊；使蒙上薄雾
mistake	n. 错误；误会；过失vt. 弄错；误解vi. 弄错；误解
Mister	n. 先生（用于姓名或职称前，常缩写为Mr.）
mistress	n. 情妇；女主人；主妇；女教师；女能人
misunderstand	vt. 误解；误会
mix	v.使混和,混淆,混合n.混合
mixture	n. 混合；混合物；混合剂
moan	vi. 抱怨，悲叹；呻吟n. 呻吟声；悲叹vt. 抱怨；呻吟着说n.
mob n. 1. 喧嚷的群众 2. 暴民，暴徒
mobile	adj. 可移动的；机动的；易变的；非固定的n. 移动电话
mobilize	vt. 动员，调动；集合，组织；使…流通；使…松动vi. 组织；动员起来
mock	v.嘲笑,骗,挫败,嘲弄adj.假的n.嘲弄,模仿,仿制品
mode	n. 模式；方式；风格；时尚n. (Mode)人名；(德、英、法、乍、瑞典)莫德
model	‘mɔdl/ n.模型；模式；模特儿
moderate	adj. 稳健的，温和的；适度的，中等的；有节制的vi. 变缓和，变弱vt. 节制；减轻
modern	adj. 现代的，近代的；时髦的n. 现代人；有思想的人
modest	adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的n. (Modest)人名；
modify	vt. 修改，修饰；更改vi. 修改
module n. (太空船上的)舱
moist	adj. 潮湿的；湿润的；多雨的；含泪的n. 潮湿
moisture	n. 水分；湿度；潮湿；降雨量
molecule	n. [化学] 分子；微小颗粒，微粒
moment	n. 片刻，瞬间，时刻；重要，契机n. (Moment)人名；(英)莫门特
momentum	n. 势头；[物] 动量；动力；冲力
Monday	n. 星期一
monetary adj. 货币的，金钱的，金融的
money	n. 钱；货币；财富n. (Money)人名；(英)莫尼；(西、法)莫内
monitor	n. 监视器；监听器；监控器；显示屏；班长vt. 监控
monkey	n. 猴子；顽童vi. 胡闹；捣蛋vt. 嘲弄
monopoly	n. 垄断；垄断者；专卖权
monster	n. 怪物；巨人，巨兽；残忍的人adj. 巨大的，庞大的
month	n. 月，一个月的时间
monthly	adj. 每月的，每月一次的；有效期为一个月的n. 月刊adv. 每月，每月一次
monument	n. 纪念碑；历史遗迹；不朽的作品vt. 为…树碑
mood	n. 情绪，语气；心境；气氛n. (Mood)人名；(英)穆德；(瑞典)莫德
moon	n.月亮；月球；月光；卫星vi. 闲荡；出神vt. 虚度n. （Moon）
moral	adj. 道德的；精神上的；品性端正的n. 道德；寓意n. (Moral)人名；(德、法、西、葡、土)莫拉尔
morality	n. 道德；品行，美德
more	adv.更多；此外；更大程度地adj. 更多的；附加的pron. 更多的数量n. 更多n. (More)人名；(英、法)莫尔；(意、西、以)莫雷
moreover	adv. 而且；此外
morning	n. 早晨；黎明；初期
mortal	adj. 凡人的；致死的；终有一死的；不共戴天的n. 人类，凡人n.
mortgage	n. 抵押；抵押贷款额v. 抵押；以某人的前途作代价
mosquito	n. 蚊子
most	adv.最；非常，极其；最多；几乎adj. 大部分的，多数的；最多的
mostly	adv. 主要地；通常；多半地
motel	n. 汽车旅馆n. (Motel)人名；(德)莫特尔
mother	n. 母亲；大娘；女修道院院长vt. 生下；养育；像母亲般关怀或照管adj. 母亲的；出生地的
motion	n. 动作；移动；手势；请求；意向；议案vi. 运动；打手势vt. 运动；向…打手势
motivate	v. 刺激，使有动机，激发…的积极性；成为……的动机；给出理由； 申请
motive	n. 动机，目的；主题adj. 发动的；成为动机的vt. 使产生动机，激起
motor	n. 发动机，马达；汽车adj. 汽车的；机动的vi. 乘汽车vt. 以汽车载运
mould	n.[亦作mold] 肥土,壤土,[亦作mold] 霉,模具v.用土覆盖,发霉,铸造
mount	n.乘用马,衬纸,山,装配vi.乘马,爬上,增长vt.爬上,使上马,装上,设置,安放,制作...的标本,上演
mountain	n. 山；山脉n. (Mountain)人名；(英)芒廷
mourn	v. 哀悼；忧伤；服丧
mouse	n. 鼠标；老鼠；胆小羞怯的人vt. 探出vi. 捕鼠；窥探
mouth	n. 口，嘴；河口vt. 做作地说，装腔作势地说；喃喃地说出vi. 装腔作势说话
mouthful	n. 一口，满口
move	v.移动；改变；进展；采取行动；搬家；调动；离开；感动；激起；
movement	n. 运动；活动；运转；乐章
movie	n. 电影；电影院；电影业adj. 电影的
much	adv. 非常，很adj. 大量的n. 许多，大量pron. 许多，大量n.
mud	n. 泥；污蔑；（非正式）干杯v. 弄脏，用泥涂
muddy	adj. 泥泞的；模糊的；混乱的vt. 使污浊；使沾上泥；把…弄糊涂vi. 变得泥泞；沾满烂泥
mug	n. 杯子；脸；苦读者vi. 扮鬼脸，做怪相vt. 行凶抢劫
multiple	adj. 多重的；多样的；许多的n. 倍数；[电] 并联
multiply	vt. 乘；使增加；使繁殖；使相乘vi. 乘；繁殖；增加adv. 多样地； 复合地adj. 多层的；多样的
multitude	n. 大量，多数；群众，人群
municipal	adj. 市政的，市的；地方自治的
murder	n.谋杀,凶杀vt.谋杀,凶杀v.谋杀
murderer	n. 凶手；谋杀犯
murmur	n. 低语；低语声；低声抱怨；潺潺声vi. 低声说；私下抱怨；发出轻柔持续的声音vt. 低声说
muscle	n. 肌肉；力量vt. 加强；使劲搬动；使劲挤出vi. 使劲行进
muscular	adj. 肌肉的；肌肉发达的；强健的
museum	n. 博物馆
mushroom	n. 蘑菇，伞菌；蘑菇形物体；暴发户adj. 蘑菇的；蘑菇形的；迅速生长的vi. 迅速增加；采蘑菇；迅速生长
music	n. 音乐，乐曲
musical	adj. 音乐的；悦耳的n. 音乐片
musician	n. 音乐家
must	aux. 必须；一定；应该，得n. 绝对必要的事物；待发酵的葡萄汁； 发霉，潮气n. (Must) （美）穆斯特（人名）
mute	adj. 哑的；沉默的；无声的vt. 减弱……的声音；使……柔和n. 哑巴；弱音器；闭锁音n. (Mute)人名；(塞)穆特
mutter	vi.咕哝；喃喃自语vt. 咕哝；抱怨地说；低声含糊地说n. 咕哝；喃
mutton	n. 羊肉
mutual	adj. 共同的；相互的，彼此的
my	pron. 我的int. 哎呀（表示惊奇等）；喔唷n. (My)人名；(越)美；
myself	pron. 我自己；我亲自；我的正常的健康状况和正常情绪
mysterious	adj. 神秘的；不可思议的；难解的
mystery	n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作mysteries 秘技，秘诀
myth	n. 神话；虚构的人，虚构的事
nail	n.指甲,钉,钉子vt.钉,将...钉牢
naive	adj. 天真的,幼稚的
naked	adj. 裸体的；无装饰的；无证据的；直率的
name	n.名字,名称,姓名,名誉vt.命名,提名,叫出,指定adj.姓名的,据以取名的
namely	adv. 也就是；即是；换句话说
nap	n. 小睡，打盹儿；细毛；孤注一掷vt. 使拉毛vi. 小睡；疏忽n.
napkin n. 餐巾
narrative	n. 叙述；故事；讲述adj. 叙事的，叙述的；叙事体的
narrow	adj. 狭窄的，有限的；勉强的；精密的；度量小的n. 海峡；狭窄部分，隘路vt. 使变狭窄vi. 变窄
nasty	adj.污秽的,肮脏的,令人厌恶的,淫秽的,下流的,凶相的,威胁的
nation	n. 国家；民族；国民n. (Nation)人名；(英)内申
national	adj. 国家的；国民的；民族的；国立的n. 国民
nationality	n. 国籍，国家；民族；部落
native	adj. 本国的；土著的；天然的；与生俱来的；天赋的n. 本地人；土产；当地居民
natural	adj. 自然的；物质的；天生的；不做作的n. 自然的事情；白痴；本位音n. (Natural)人名；(西)纳图拉尔
naturally	adv. 自然地自然而然地轻而易举天生地大方地
nature	n. 自然；性质；本性；种类n. (Nature)人名；(法)纳蒂尔
naughty	/ adj. 顽皮的，淘气的；不听话的；没规矩的；不适当的；下流的
naval	adj. 海军的；军舰的n. (Naval)人名；(西、德、印)纳瓦尔
navigation	n. 航行；航海
navy	n. 海军深蓝色的
near	adj.亲近的,亲密的,近,(车,马等)左侧的,吝啬的adv.(时间,空间方面)近,不远 prep.在...近旁,近...v.接近,走近
nearby	adj. 附近的，邻近的adv. 在附近prep. 在…附近
nearly	adv. 差不多，几乎；密切地
neat	adj. 灵巧的；整洁的；优雅的；齐整的；未搀水的；平滑的
necessarily	adv. 必要地；必定地，必然地
necessary	adj. 必要的；必需的；必然的n. 必需品n. (Necessary)（英）内塞瑟里（人名）
necessitate v. 使成为需要，使成为必须
necessity	n. 需要；必然性；必需品
neck	n. 脖子；衣领；海峡vi. 搂著脖子亲吻；变狭窄vt. 使变细；与…搂著脖子亲吻n. (Neck)人名；(德、意、英)内克
necklace	n. 项链
need	n.需要,必需,必需品,要求,贫困vt.需要 modalv.必要,必须
needle	n. 针；指针；刺激；针状物vi. 缝纫；做针线vt. 刺激；用针缝n.
needless	adj. 不必要的，不需要的
negative	adj. [数] 负的；消极的；否定的；阴性的n. 否定；负数；[摄] 底片vt. 否定；拒绝
neglect	v. 忽视，忽略；疏忽；漏做n. 忽略，忽视；未被重视
negligible	adj. 微不足道的，可以忽略的
negotiate	vt. 谈判，商议；转让；越过vi. 谈判，交涉
Negro	n. 冒犯旧黑人adj. 冒犯旧黑人的
neighbour	n. 邻居；同胞；仁慈的人vt. 邻接vi. 住在邻近；毗邻；友善，和睦adj. 邻居的；邻近的
neighbourhood	n. 邻近；周围；邻居关系；附近一带
neither	conj. 也不；既不adv. 两个都不；既不……也不adj. 两者都不的pron. 两者都不
nephew	uː,ˈnevjuː/ n. 侄子；外甥
nerve	n. 神经；勇气；[植] 叶脉vt. 鼓起勇气
nervous	adj. 神经的；紧张不安的；强健有力的
nest	n.巢，窝；安乐窝；温床vt. 筑巢；嵌套vi. 筑巢；找鸟巢n.
net	n.网,网络,网状物,净利,实价adj.净余的,纯粹的vt.用网捕,净赚,得
network	n. 网络；广播网；网状物
neutral	adj. 中立的，中性的；中立国的；非彩色的n. 中立国；中立者；非彩色；齿轮的空档
never	adv. 从未；决不
nevertheless	adv. 然而，不过；虽然如此
new	adj. 新的，新鲜的；更新的；初见的adv. 新近n. (New)人名；(英) 纽
newly	adv. 最近；重新；以新的方式
news	n. 新闻，消息；新闻报导
newspaper	n. 报纸报社旧报纸
next	adj.紧接在后的；贴近的；其次的adv. 然后；下次；其次n. 下一个人或事件prep. 靠近；居于…之后det. 下次；紧接在后的；另一个
nice	adj. 精密的；美好的；细微的；和蔼的n. (Nice)人名；(英)尼斯
nickel	n. 镍；镍币；五分镍币vt. 镀镍于n. (Nickel)人名；(德、英)尼克尔
nickname n. 绰号，爱称
niece	n. 外甥女，侄女n. (Niece)人名；(英)尼斯
night	n. 夜晚，晚上；黑暗，黑夜adj. 夜晚的，夜间的
nightmare	n. 恶梦，噩梦；梦魇般的经历adj. 可怕的；噩梦似的
nil n. 无，全无，零
nine	n. 九，九个num. 九；九个adj. 九的，九个的n. (Nine)人名；(塞) 尼内
nineteen	ːn/ num. 十九n. 十九个；十九岁；十九号
ninety	n. 九十adj. 九十的；九十岁的num. 九十
ninth	num. 第九；第九名；九度音n. 九分之一adj. 第九的；九分之一的
nitrogen	n. [化学] 氮
no	n.否定,投反对票者adj.没有,不许,反对adv.不,并不,毫不 [域] Norway ,挪威
noble	adj.高尚的；贵族的；惰性的；宏伟的n. 贵族vt. 抓住；逮捕n. (Noble)人名；(英、法、意)诺布尔；(西)诺夫莱；(阿拉伯)努布莱
nobody	pron. 无人，没有人；谁也不n. 无名小卒，小人物
nod	v. 点头；点头表示；打盹；摆动；（英足）顶球n. 点头；点头表示；打盹；摆动；同意，让步
noise	n. [环境] 噪音；响声；杂音vt. 谣传vi. 发出声音；大声议论n.
noisy	adj. .嘈杂的；喧闹的；聒噪的
Nominal	adj. 名义上的；有名无实的；[会计] 票面上的n. [语] 名词性词
nominate	vt. 推荐；提名；任命；指定
none	adv.决不,毫不 pron.一个也没有,毫无
nonetheless adv. 尽管如此，然而
nonsense	n. 胡说；废话adj. 荒谬的int. 胡说！
noon	n. 中午；正午；全盛期n. (Noon)人名；(朝)嫩；(英、巴基)努恩
nor	conj. 也不；也不是adv. 也不；也没有n. (Nor)人名；(中)挪(广东话·威妥玛)；(马来、俄)诺尔；(柬)诺
norm	n. 标准，规范
normal	adj. 正常的；正规的；标准的n. 正常；标准；常态；法线（数学） n. (Normal)人名；(德)诺马尔
normally	adv. 正常地；通常地，一般地
north	n. 北，北方adj. 北方的；朝北的adv. 在北方，向北方
northeast	n. 东北方，东北部adj. 东北的；向东北的；（风等）来自东北的adv. 在东北；向东北；（风等）来自东北
northern	adj. 北部的；北方的n. 北部方言
northwest	n. 西北方；西北部adj. （风）来自西北的；在西北部的adv. 在西北，向西北，来自西北地
nose	n.鼻子；嗅觉；突出的部分；探问；（飞机、太空船等的）头部，头锥；特有的气味vt. 嗅；用鼻子触vi. 小心探索着前进；探问
not	adv. 表示否定，不n. “非”（计算机中逻辑运算的一种）
notable	adj. 值得注意的，显著的；著名的n. 名人，显要人物
notation n. 1. 记号，标记法 2. 记录
note	n. 笔记；音符；票据；注解；纸币；便笺；照会；调子vt. 注意；记录；注解n. (Note) （美、法）诺特（人名）
notebook	n. 笔记本，笔记簿；手册
nothing	pron.没有什么；无关紧要的东西；（计算机数量上的）零；不值钱adv. 毫不；绝不n. 无；零；无关紧要的事adj. 没前途的；没价值的
notice	n. 通知，布告；注意；公告vt. 通知；注意到；留心vi. 引起注意
noticeable	adj. 显而易见的，显著的；值得注意的
notify	vt. 通告，通知；公布
notion	n. 概念；见解；打算
notorious	adj. 声名狼藉的，臭名昭著的
notwithstanding	prep. 尽管，虽然adv. 尽管，仍然conj. 虽然，尽管
noun	n. 名词n. (Noun)人名；(以)努恩
nourish	vt. 滋养；怀有；使健壮
novel	adj. 新奇的；异常的n. 小说n. (Novel)人名；(法、西、英)诺韦尔
novelty	/ n. 新奇；新奇的事物；新颖小巧而廉价的物品
November	n. 十一月
now	adv. 现在；如今；立刻adj. 现在的n. 现在；目前conj. 由于；既然
nowadays	adv. 现今；时下n. 当今
nowhere	adv. 无处；任何地方都不；毫无结果n. 无处；任何地方；无名之地adj. 不存在的；毫无结果的；不知名的
nuclear	adj. 原子能的；[细胞] 细胞核的；中心的；原子核的
nucleus	n. 核，核心；原子核
nuisance	n. 讨厌的人；损害；麻烦事；讨厌的东西
number	n. 数；（杂志等的）期；号码；数字；算术vi. 计入；总数达到vt. 编号；计入；数…的数目；使为数有限
numerical	adj. 数值的；数字的；用数字表示的（等于numeric）
numerous	adj. 许多的，很多的
nurse	n.护士,保姆vt.护理,看护v.照料
nursery	n. 苗圃；托儿所；温床
nurture v. 1. 养育，教育 2. 培育，扶植
nut	n. 螺母，螺帽；坚果；难对付的人，难解的问题vi. 采坚果n. (Nut) 人名；(阿拉伯)努特；(柬)努
nutrition n. 1. 营养，滋养 2. 营养物，食物
nylon	n. 尼龙，[纺] 聚酰胺纤维；尼龙袜
o'clock	ə’klɔk/ ad.…点钟
oak	n. 橡树；橡木色；橡木家具adj. 栎树的；栎木制的n. (Oak)人名；
oar	n. 桨；橹；桨手vt. 划（船）vi. 划行
oath	n. 誓言，誓约；诅咒，咒骂
obedient	adj. 顺从的，服从的；孝顺的
obey	vt. 服从，听从；按照……行动vi. 服从，顺从；听话n. (Obey)人名；(英、法)奥贝
object	n. 目标；物体；客体；宾语vt. 提出…作为反对的理由vi. 反对；拒绝
objection	n. 异议，反对；缺陷，缺点；妨碍；拒绝的理由
objective	n.目的；目标；（军事行动的）攻击目标；物镜；宾格adj. 客观的；客观存在的；（疾病症状）客观的，他觉的；目标的；宾格的
obligation	n. 义务；职责；债务
oblige	vt. 迫使；强制；赐，施恩惠；责成；义务vi. 帮忙；施恩惠
obscene	adj. 淫秽的；猥亵的；可憎的
obscure	adj.昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名
observation	n. 观察；监视；观察报告
observe	vt. 庆祝vt. 观察；遵守；说；注意到；评论vi. 观察；说；注意到；评论
observer	n. 观察者；[天] 观测者；遵守者
obstacle	n. 障碍，干扰，妨碍；障碍物
obtain	vi. 获得；流行vt. 获得
obvious	adj. 明显的；显著的；平淡无奇的
obviously	adv. 明显地显然地
occasion	n. 时机，机会；场合；理由vt. 引起，惹起
occasional	adj. 偶然的，临时的；（家具）特定场合才使用的；（文章等）特殊场合所作的；不定期雇用的
occasionally	adv. 偶尔；间或
occupation	n. 职业；占有；消遣；占有期
occupy	vt. 占据，占领；居住；使忙碌
occur	vi. 发生；出现；存在
occurrence	n. 发生；出现；事件；发现
ocean	n. 海洋；大量n. （Ocean）（罗）奥切安（人名）
Oceania	n. 大洋洲
October	n. [天] 十月
